"","lim_inf","mean","lim_sup","sd"
"test_acc_prop",0.921397072919832,0.939157078882025,0.956917084844218,0.00197670679963573
"test_cv_prop",0.626704835562504,0.768176299174356,0.909647762786209,0.0157459183668787
"test_cv_num",150.615873951039,220.5,290.384126048961,7.77817459305202
"test_mu_prop",0.0903522372137907,0.231823700825644,0.373295164437496,0.0157459183668787
"test_mu_num",34.7344881595633,66.5,98.2655118404367,3.53553390593274
"test_si_prop",-0.0818944722339281,0.0331957260806217,0.148285924395171,0.0128096565994455
"test_si_num",-22.2655118404367,9.5,41.2655118404367,3.53553390593274
"test_co_perc",6.01616029414429,12.2769686704634,18.5377770467825,0.696834365654585
"test_co_num",248.881385791476,287,325.118614208524,4.24264068711928
"test_ci_perc",7.62436675784561,12.6800484550831,17.7357301523206,0.562702535629631
"test_ci_num",290.146897631913,296.5,302.853102368087,0.707106781186548
"test_cf_prop",0.0084577649798625,0.265019426906265,0.521581088832668,0.0285555749663242
"test_cf_num",12.4689763191265,76,139.531023680873,7.07106781186548
"test_fn_prop",0.0903522372137907,0.231823700825644,0.373295164437496,0.0157459183668787
"test_fn_num",34.7344881595633,66.5,98.2655118404367,3.53553390593274
"test_mse",0.036905733621295,0.0432412919008232,0.0495768501803514,0.000705154106214362
"train_acc_prop",0.930663537175191,0.947223039822361,0.96378254246953,0.00184308955475168
"train_cv_prop",0.457752930573168,0.793055555555556,1.12835818053794,0.0373195245626233
"train_cv_num",427.022802908419,687.5,947.977197091581,28.9913780286484
"train_si_prop",-0.858141794441477,0.022154374201788,0.902450542845053,0.0979778625049272
"train_co_perc",10.0838521026196,12.1096404711483,14.1354288396771,0.225472314098213
"train_co_num",828.881385791476,867,905.118614208524,4.24264068711928
"train_ci_perc",3.7774746616,12.3668763299006,20.9562779982012,0.956009176949387
"train_ci_num",161.746330038042,886,1610.25366996196,80.6101730552664
"train_cf_prop",-0.315894725014645,0.229098818646232,0.77409236230711,0.0606583379423039
"train_cf_num",-265.276472870376,198.5,662.276472870376,51.618795026618
"train_fn_prop",-0.128358180537943,0.206944444444444,0.542247069426832,0.0373195245626233
"train_fn_num",-119.095811300105,179.5,478.095811300105,33.2340187157677
"train_mse",0.0396423366509181,0.0399696664851197,0.0402969963193214,3.64321448071267e-05
